grade,gene,Gene description,Phenotype description
82,KIF1B,kinesin family member 1B ,Autosomal dominant Charcot-Marie-Tooth disease type 2A1
82,RBM45,RNA binding motif protein 45 ,
82,COL14A1,collagen type XIV alpha 1 chain ,Punctate palmoplantar keratoderma type 1
82,MANBAL,mannosidase beta like ,
82,SYNE3,spectrin repeat containing nuclear envelope family member 3 ,
82,NFATC4,nuclear factor of activated T cells 4 ,
82,PLEKHA6,pleckstrin homology domain containing A6 ,
82,VRK3,VRK serine/threonine kinase 3 ,
82,CDKN1A,cyclin dependent kinase inhibitor 1A ,Multiple endocrine neoplasia type 1
82,FILIP1,filamin A interacting protein 1 ,
82,STK25,serine/threonine kinase 25 ,
82,TARBP2,TARBP2 subunit of RISC loading complex ,
82,ME2,malic enzyme 2 ,
82,PBX1,PBX homeobox 1 ,Precursor B-cell acute lymphoblastic leukemia
82,ARL3,ADP ribosylation factor like GTPase 3 ,Joubert Syndrome
82,MMS19,"""MMS19 homolog"," cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]"""
82,SNX12,sorting nexin 12 ,
82,BCAT2,branched chain amino acid transaminase 2 ,Hypervalinemia and hyperleucine-isoleucinemia
82,PEAK1,pseudopodium enriched atypical kinase 1 ,
82,DAPK1,death associated protein kinase 1 ,
82,RBM15,RNA binding motif protein 15 ,Megakaryoblastic acute myeloid leukemia with t1
82,TRPM6,transient receptor potential cation channel subfamily M member 6 ,Primary hypomagnesemia with secondary hypocalcemia
82,SRP68,signal recognition particle 68 ,
82,FRMD6,FERM domain containing 6 ,
82,DDB1,damage specific DNA binding protein 1 ,
82,LDLRAD1,low density lipoprotein receptor class A domain containing 1 ,
82,SMO,"""smoothened"," frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]"""
82,CORO7,coronin 7 ,
82,MYL6,myosin light chain 6 ,
82,ORC5,origin recognition complex subunit 5 ,
82,CLMN,calmin ,
82,FAM117B,family with sequence similarity 117 member B ,
82,PPP3CA,protein phosphatase 3 catalytic subunit alpha ,Autosomal dominant non-syndromic intellectual disability
82,RNF220,ring finger protein 220 ,
82,NLRX1,NLR family member X1 ,
82,NDST1,N-deacetylase and N-sulfotransferase 1 ,Autosomal recessive non-syndromic intellectual disability
82,CHURC1,churchill domain containing 1 ,
82,TTC39B,tetratricopeptide repeat domain 39B ,
82,SACM1L,SAC1 like phosphatidylinositide phosphatase ,
82,CYBA,cytochrome b-245 alpha chain ,Chronic granulomatous disease
81,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3 ,
81,CYLD,CYLD lysine 63 deubiquitinase ,Familial cylindromatosis
81,TMLHE,"""trimethyllysine hydroxylase"," epsilon [Source:HGNC Symbol;Acc:HGNC:18308]"""
81,ITGB8,integrin subunit beta 8 ,
81,MMP25,matrix metallopeptidase 25 ,
81,ERCC1,"""ERCC excision repair 1"," endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]"""
81,HYKK,hydroxylysine kinase ,
81,MCU,mitochondrial calcium uniporter ,
81,SPRYD4,SPRY domain containing 4 ,
81,PPM1D,"""protein phosphatase"," Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]"""
81,GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2 ,
81,ADAM33,ADAM metallopeptidase domain 33 ,
81,ARSD,arylsulfatase D ,
81,ACVR1B,activin A receptor type 1B ,
81,GPR139,G protein-coupled receptor 139 ,
81,SH3BP2,SH3 domain binding protein 2 ,CHERUBISM
81,NOTCH2NLC,notch 2 N-terminal like C ,Neuronal intranuclear inclusion disease
81,PLIN2,perilipin 2 ,
81,NLRP11,NLR family pyrin domain containing 11 ,
81,TMEM201,transmembrane protein 201 ,
81,ZNF142,zinc finger protein 142 ,NEURODEVELOPMENTAL DISORDER WITH IMPAIRED SPEECH AND HYPERKINETIC MOVEMENTS
81,TRPC4,transient receptor potential cation channel subfamily C member 4 ,
81,KIAA1614,KIAA1614 ,
81,DCAKD,dephospho-CoA kinase domain containing ,
81,TRHDE,thyrotropin releasing hormone degrading enzyme ,
81,DRD2,dopamine receptor D2 ,MYOCLONUS-DYSTONIA SYNDROME
81,PPP1R12B,protein phosphatase 1 regulatory subunit 12B ,
81,SCNN1D,sodium channel epithelial 1 subunit delta ,
81,TRABD2A,TraB domain containing 2A ,
81,CHP1,calcineurin like EF-hand protein 1 ,SPASTIC ATAXIA 9 AUTOSOMAL RECESSIVE
81,KATNAL1,katanin catalytic subunit A1 like 1 ,
81,RPIA,ribose 5-phosphate isomerase A ,Ribose-5-P isomerase deficiency
81,KIF3C,kinesin family member 3C ,
81,TRIB1,tribbles pseudokinase 1 ,
81,SLC25A40,solute carrier family 25 member 40 ,
81,KCTD2,potassium channel tetramerization domain containing 2 ,
81,TXNDC17,thioredoxin domain containing 17 ,
81,EVL,Enah/Vasp-like ,
81,KANSL2,KAT8 regulatory NSL complex subunit 2 ,
81,GNB1L,G protein subunit beta 1 like ,
81,SH3TC2,SH3 domain and tetratricopeptide repeats 2 ,Charcot-Marie-Tooth disease type 4C
81,MAP3K15,mitogen-activated protein kinase kinase kinase 15 ,
81,TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1 ,
81,ENG,endoglin ,Familial cerebral saccular aneurysm
81,ABL1,"""ABL proto-oncogene 1"," non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"""
81,GALE,UDP-galactose-4-epimerase ,Erythrocyte galactose epimerase deficiency
81,CCDC93,coiled-coil domain containing 93 ,
81,WDR97,WD repeat domain 97 ,
81,CCDC59,coiled-coil domain containing 59 ,
81,LRRC8A,leucine rich repeat containing 8 VRAC subunit A ,Autosomal agammaglobulinemia
81,FYN,"""FYN proto-oncogene"," Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]"""
81,AFF2,AF4/FMR2 family member 2 ,FRAXE intellectual disability
81,CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1 ,
81,EPHB6,EPH receptor B6 ,
80,VWC2L,von Willebrand factor C domain containing 2 like ,
80,KLRK1,killer cell lectin like receptor K1 ,
80,CALD1,caldesmon 1 ,
80,CBLN1,cerebellin 1 precursor ,
80,ADGRD1,adhesion G protein-coupled receptor D1 ,
80,ZBTB40,zinc finger and BTB domain containing 40 ,Autosomal Recessive Mental Retardation
80,TMEM204,transmembrane protein 204 ,
80,KCTD1,potassium channel tetramerization domain containing 1 ,Scalp-ear-nipple syndrome
80,SAMD10,sterile alpha motif domain containing 10 ,
80,FMNL2,formin like 2 ,
80,VPS4A,vacuolar protein sorting 4 homolog A ,CIMDAG Syndrome biallelic
80,DR1,down-regulator of transcription 1 ,
80,THOC3,THO complex 3 ,
80,FBXL12,F-box and leucine rich repeat protein 12 ,
80,MARCHF8,membrane associated ring-CH-type finger 8 ,
80,SEMA4F,ssemaphorin 4F ,
80,EMB,embigin ,
80,MARK4,microtubule affinity regulating kinase 4 ,
80,RBM28,RNA binding motif protein 28 ,ANE syndrome
80,CSRNP2,cysteine and serine rich nuclear protein 2 ,
80,ZBTB26,zinc finger and BTB domain containing 26 ,
80,TEX14,"""testis expressed 14"," intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]"""
80,JPT2,Jupiter microtubule associated homolog 2 ,
80,MTCL1,microtubule crosslinking factor 1 ,
80,SLC38A7,solute carrier family 38 member 7 ,
80,LONRF2,LON peptidase N-terminal domain and ring finger 2 ,
80,MICALL1,MICAL like 1 ,
80,CRB2,crumbs cell polarity complex component 2 ,Genetic steroid-resistant nephrotic syndrome
80,TMPRSS2,transmembrane serine protease 2 ,
80,ZNF585B,zinc finger protein 585B ,
80,MAPK8,mitogen-activated protein kinase 8 ,
80,TBC1D24,TBC1 domain family member 24 ,Autosomal dominant non-syndromic sensorineural deafness type DFNA
80,NAV2,neuron navigator 2 ,
80,ANKRD50,ankyrin repeat domain 50 ,
80,CDADC1,cytidine and dCMP deaminase domain containing 1 ,
80,GNAL,G protein subunit alpha L ,Autosomal dominant focal dystonia DYT25 type
80,AK9,adenylate kinase 9 ,Postsynaptic congenital myasthenic syndromes
80,SDHD,succinate dehydrogenase complex subunit D ,Carcinoid syndrome
80,TREML2,triggering receptor expressed on myeloid cells like 2 ,
80,MTMR10,myotubularin related protein 10 ,
80,TMEM98,transmembrane protein 98 ,Nanophthalmos
80,JDP2,Jun dimerization protein 2 ,
80,HMGA1,high mobility group AT-hook 1 ,TYPE 2 DIABETES MELLITUS
80,EXOSC6,exosome component 6 ,
80,VSTM4,V-set and transmembrane domain containing 4 ,
80,MTHFD2,"""methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2"," methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]"""
80,MAP2,microtubule associated protein 2 ,
80,NCBP2,nuclear cap binding protein subunit 2 ,
80,TPRN,taperin ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
80,XKR4,XK related 4 ,
80,PHF1,PHD finger protein 1 ,
80,KLHL17,kelch like family member 17 ,
80,TLDC2,TBC/LysM-associated domain containing 2 ,
80,ADGRL3,adhesion G protein-coupled receptor L3 ,
80,PCDHA6,protocadherin alpha 6 ,
80,HMOX2,heme oxygenase 2 ,
80,NRG1,neuregulin 1 ,SCHIZOPHRENIA 6
80,SFXN2,sideroflexin 2 ,
80,NKPD1,NTPase KAP family P-loop domain containing 1 ,
80,C6orf89,chromosome 6 open reading frame 89 ,
80,DCTN2,dynactin subunit 2 ,
79,ZNF324,zinc finger protein 324 ,
79,DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1 ,
79,SYN2,synapsin II ,Schizophrenia
79,MLEC,malectin ,
79,MAP2K5,mitogen-activated protein kinase kinase 5 ,
79,NHSL2,NHS like 2 ,
79,TMED3,transmembrane p24 trafficking protein 3 ,
79,HDHD2,haloacid dehalogenase like hydrolase domain containing 2 ,
79,ATP8A2,ATPase phospholipid transporting 8A2 ,Dysequilibrium syndrome
79,TMEM72,transmembrane protein 72 ,
79,ATXN7,ataxin 7 ,Spinocerebellar ataxia type 7
79,SGPL1,sphingosine-1-phosphate lyase 1 ,Familial steroid-resistant nephrotic syndrome with adrenal insufficiency
79,FAM174B,family with sequence similarity 174 member B ,
79,CAMK1G,calcium/calmodulin dependent protein kinase IG ,
79,MLYCD,malonyl-CoA decarboxylase ,Malonic aciduria
79,LRCH4,leucine rich repeats and calponin homology domain containing 4 ,
79,ADRB3,adrenoceptor beta 3 ,OBESITY LEANNESS INCLUDED
79,ZNF587,zinc finger protein 587 ,
79,MPI,mannose phosphate isomerase ,MPI-CDG
79,SLC22A15,solute carrier family 22 member 15 ,
79,TMEM161B,transmembrane protein 161B ,
79,NPAS3,neuronal PAS domain protein 3 ,
79,LMBR1L,limb development membrane protein 1 like ,
79,OTULIN,OTU deubiquitinase with linear linkage specificity ,Infantile-onset periodic fever-panniculitis-dermatosis syndrome
79,BRSK2,BR serine/threonine kinase 2 ,Autosomal dominant non-syndromic intellectual disability
79,ZNF704,zinc finger protein 704 ,
79,NFIX,nuclear factor I X ,19p13.3 microduplication syndrome
79,SCARA5,scavenger receptor class A member 5 ,
79,GNA12,G protein subunit alpha 12 ,
79,GOT1,glutamic-oxaloacetic transaminase 1 ,ASPARTATE AMINOTRANSFERASE SERUM LEVEL OF QUANTITATIVE TRAIT LOCUS 1
79,PTBP3,polypyrimidine tract binding protein 3 ,
79,UBE4B,ubiquitination factor E4B ,
79,TCOF1,treacle ribosome biogenesis factor 1 ,Treacher-Collins syndrome
79,CFAP298,cilia and flagella associated protein 298 ,Primary ciliary dyskinesia
79,KIAA1755,KIAA1755 ,
79,SNX7,sorting nexin 7 ,
79,TPRG1,tumor protein p63 regulated 1 ,
79,MYLIP,myosin regulatory light chain interacting protein ,NON RARE IN EUROPE: Familial hypobetalipoproteinemia
79,FBXW2,F-box and WD repeat domain containing 2 ,
79,PLOD1,"""procollagen-lysine","2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]"""
79,PFKFB2,"""6-phosphofructo-2-kinase/fructose-2","6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"""
79,GPI,glucose-6-phosphate isomerase ,Hemolytic anemia due to glucophosphate isomerase deficiency
79,FADS1,fatty acid desaturase 1 ,
79,FBXO41,F-box protein 41 ,
79,FBXO25,F-box protein 25 ,
79,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1 ,
79,IL17RA,interleukin 17 receptor A ,Chronic mucocutaneous candidiasis
79,TWIST2,twist family bHLH transcription factor 2 ,Ablepharon macrostomia syndrome
79,ABHD4,"""abhydrolase domain containing 4"," N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]"""
79,DLG2,discs large MAGUK scaffold protein 2 ,
79,,novel protein,
79,SLC6A11,solute carrier family 6 member 11 ,
79,DHFR,dihydrofolate reductase ,Constitutional megaloblastic anemia with severe neurologic disease
78,CASP10,caspase 10 ,Autoimmune lymphoproliferative syndrome
78,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2 ,Dermatosparaxis Ehlers-Danlos syndrome
78,PCDH9,protocadherin 9 ,
78,APBB3,amyloid beta precursor protein binding family B member 3 ,
78,KCNQ4,potassium voltage-gated channel subfamily Q member 4 ,Autosomal dominant non-syndromic sensorineural deafness type DFNA
78,ENGASE,endo-beta-N-acetylglucosaminidase ,
78,FLYWCH1,FLYWCH-type zinc finger 1 ,
78,C11orf80,chromosome 11 open reading frame 80 ,Complete hydatidiform mole
78,KIF24,kinesin family member 24 ,
78,MS4A7,membrane spanning 4-domains A7 ,
78,ZBTB8B,zinc finger and BTB domain containing 8B ,
78,TATDN2,TatD DNase domain containing 2 ,
78,NOTCH2,notch receptor 2 ,Acroosteolysis dominant type
78,KRBA1,KRAB-A domain containing 1 ,
78,UBE2K,ubiquitin conjugating enzyme E2 K ,
78,FAM135A,family with sequence similarity 135 member A ,
78,PTCD2,pentatricopeptide repeat domain 2 ,
78,PDPR,pyruvate dehydrogenase phosphatase regulatory subunit ,
78,COL4A4,collagen type IV alpha 4 chain ,Autosomal dominant Alport syndrome
78,CNP,"""2'","3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]"""
78,CPXM2,"""carboxypeptidase X"," M14 family member 2 [Source:HGNC Symbol;Acc:HGNC:26977]"""
78,GM2A,GM2 ganglioside activator ,GM2 gangliosidosis AB variant
78,LCP2,lymphocyte cytosolic protein 2 ,
78,OSBPL7,oxysterol binding protein like 7 ,
78,DGKH,diacylglycerol kinase eta ,
78,EFTUD2,elongation factor Tu GTP binding domain containing 2 ,Mandibulofacial dysostosis-microcephaly syndrome
78,TSPYL4,TSPY like 4 ,
78,DCX,doublecortin ,Lissencephaly type 1 due to doublecortin gene mutation
78,IL6R,interleukin 6 receptor ,HYPER-IgE RECURRENT INFECTION SYNDROME 5 AUTOSOMAL RECESSIVE
78,LZTS1,leucine zipper tumor suppressor 1 ,ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA SUSCEPTIBILITY TO INCLUDED
78,NFIA,nuclear factor I A ,1p31p32 microdeletion syndrome
78,,novel protein,
78,KRTAP11-1,keratin associated protein 11-1 ,
78,FAM9A,family with sequence similarity 9 member A ,
78,NCKAP1L,NCK associated protein 1 like ,IMMUNODEFICIENCY 72 WITH AUTOINFLAMMATION
78,KIAA1210,KIAA1210 ,
78,SYT11,synaptotagmin 11 ,
78,THG1L,tRNA-histidine guanylyltransferase 1 like ,SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE 28
78,IP6K2,inositol hexakisphosphate kinase 2 ,
78,TP53INP1,tumor protein p53 inducible nuclear protein 1 ,
78,,novel transcript,
78,AMPD2,adenosine monophosphate deaminase 2 ,Autosomal recessive spastic paraplegia type 63
78,SH3PXD2B,SH3 and PX domains 2B ,FRANK-TER HAAR SYNDROME
78,ZNF830,zinc finger protein 830 ,
78,MICB,MHC class I polypeptide-related sequence B ,
78,SPRED3,sprouty related EVH1 domain containing 3 ,
78,MDC1,mediator of DNA damage checkpoint 1 ,
78,EFCAB2,EF-hand calcium binding domain 2 ,
78,BEND6,BEN domain containing 6 ,
78,ATXN1,ataxin 1 ,Spinocerebellar ataxia type 1
78,ITPKB,inositol-trisphosphate 3-kinase B ,
78,CELF2,CUGBP Elav-like family member 2 ,CELF2-related neurodevelopmental disorder
78,RTF1,"""RTF1 homolog"," Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]"""
78,IGFBP5,insulin like growth factor binding protein 5 ,
78,EPHA8,EPH receptor A8 ,
78,MRPL22,mitochondrial ribosomal protein L22 ,
78,FLT1,fms related receptor tyrosine kinase 1 ,Preeclampsia
78,NPIPB3,nuclear pore complex interacting protein family member B3 ,
78,PYGL,glycogen phosphorylase L ,Glycogen storage disease due to liver glycogen phosphorylase deficiency
78,GRIK3,glutamate ionotropic receptor kainate type subunit 3 ,
78,CACNA1E,calcium voltage-gated channel subunit alpha1 E ,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 69
77,VPS52,VPS52 subunit of GARP complex ,
77,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma ,
77,WARS2,"""tryptophanyl tRNA synthetase 2"," mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"""
77,STXBP4,syntaxin binding protein 4 ,
77,C6orf223,chromosome 6 open reading frame 223 ,
77,RAB44,"""RAB44"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21068]"""
77,ZNF280B,zinc finger protein 280B ,
77,KCNJ2,potassium inwardly rectifying channel subfamily J member 2 ,Andersen-Tawil Syndrome
77,CHRM3,cholinergic receptor muscarinic 3 ,Prune belly syndrome
77,FAM221B,family with sequence similarity 221 member B ,
77,TP53TG3B,TP53 target 3B ,
77,INTS3,integrator complex subunit 3 ,
77,AGO1,argonaute RISC component 1 ,AGO1-related developmental disorder monoallelic
77,PRRT2,proline rich transmembrane protein 2 ,Benign familial infantile epilepsy
77,EMC10,ER membrane protein complex subunit 10 ,
77,TMEM178A,transmembrane protein 178A ,
77,KAZN,"""kazrin"," periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]"""
77,GPATCH2L,G-patch domain containing 2 like ,
77,CYP27C1,cytochrome P450 family 27 subfamily C member 1 ,
77,IBA57,iron-sulfur cluster assembly factor IBA57 ,Autosomal recessive spastic paraplegia type 74
77,TP53TG3,TP53 target 3 ,
77,KIF2B,kinesin family member 2B ,
77,ZFP41,ZFP41 zinc finger protein ,
77,UBR3,ubiquitin protein ligase E3 component n-recognin 3 ,
77,ENTHD1,ENTH domain containing 1 ,
77,CHST6,carbohydrate sulfotransferase 6 ,Macular corneal dystrophy
77,ZNF488,zinc finger protein 488 ,
77,RRP8,ribosomal RNA processing 8 ,
77,ZDHHC18,zinc finger DHHC-type palmitoyltransferase 18 ,
77,CDYL2,chromodomain Y like 2 ,
77,TSPYL5,TSPY like 5 ,
77,SSX2,SSX family member 2 ,Synovial sarcoma
77,RNF152,ring finger protein 152 ,
77,RAB11FIP4,RAB11 family interacting protein 4 ,
77,CEP85,centrosomal protein 85 ,
77,TM9SF2,transmembrane 9 superfamily member 2 ,
77,OR13A1,olfactory receptor family 13 subfamily A member 1 ,
77,CLBA1,clathrin binding box of aftiphilin containing 1 ,
77,YIPF6,Yip1 domain family member 6 ,
77,IL1RN,interleukin 1 receptor antagonist ,Sterile multifocal osteomyelitis with periostitis and pustulosis
77,ZBTB4,zinc finger and BTB domain containing 4 ,
77,TMEM154,transmembrane protein 154 ,
77,RPP14,ribonuclease P/MRP subunit p14 ,
77,KLRC4-KLRK1,KLRC4-KLRK1 readthrough ,
77,ANXA6,annexin A6 ,
77,IST1,IST1 factor associated with ESCRT-III ,
77,TBC1D2B,TBC1 domain family member 2B ,TBC1D2B-related neurodevelopmental disorder
77,CHIC1,cysteine rich hydrophobic domain 1 ,
77,RASSF5,Ras association domain family member 5 ,
77,PYCR3,pyrroline-5-carboxylate reductase 3 ,
77,CCDC6,coiled-coil domain containing 6 ,Differentiated thyroid carcinoma
77,ACAD8,acyl-CoA dehydrogenase family member 8 ,ISOBUTYRYL-CoA DEHYDROGENASE DEFICIENCY
77,RANBP10,RAN binding protein 10 ,
77,MFSD9,major facilitator superfamily domain containing 9 ,
77,KMT2A,lysine methyltransferase 2A ,Acute myeloid leukemia with 11q23 abnormalities
77,CSF1,colony stimulating factor 1 ,
77,RHBG,Rh family B glycoprotein ,
77,ANK1,ankyrin 1 ,8p11.2 deletion syndrome
77,STAT5B,signal transducer and activator of transcription 5B ,ACUTE PROMYELOCYTIC LEUKEMIA
77,TXNDC5,thioredoxin domain containing 5 ,
77,UNC79,"""unc-79 homolog"," NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:19966]"""
77,PYGB,glycogen phosphorylase B ,
77,TUFT1,tuftelin 1 ,
77,RCBTB2,RCC1 and BTB domain containing protein 2 ,
77,MED28,mediator complex subunit 28 ,
77,CAMK2A,calcium/calmodulin dependent protein kinase II alpha ,Autosomal dominant non-syndromic intellectual disability
76,HOXC6,homeobox C6 ,
76,FOXK1,forkhead box K1 ,
76,NOS1,nitric oxide synthase 1 ,Idiopathic achalasia
76,SLC26A1,solute carrier family 26 member 1 ,NEPHROLITHIASIS CALCIUM OXALATE
76,CHMP4B,charged multivesicular body protein 4B ,Early-onset posterior polar cataract
76,ASIC1,acid sensing ion channel subunit 1 ,
76,RASEF,RAS and EF-hand domain containing ,
76,ZNF69,zinc finger protein 69 ,
76,ZFP91,"""ZFP91 zinc finger protein"," atypical E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:14983]"""
76,SLC24A2,solute carrier family 24 member 2 ,
76,TNRC6C,trinucleotide repeat containing adaptor 6C ,
76,ARGLU1,arginine and glutamate rich 1 ,
76,NR1D1,nuclear receptor subfamily 1 group D member 1 ,
76,SRL,sarcalumenin ,
76,JRK,Jrk helix-turn-helix protein ,Childhood absence epilepsy
76,MTMR3,myotubularin related protein 3 ,
76,TMED4,transmembrane p24 trafficking protein 4 ,
76,PIAS1,protein inhibitor of activated STAT 1 ,
